track_id,frame,x,y
0,0,293,349
0,1,293,349
0,2,294,352
0,3,294,351
0,4,294,351
0,5,294,351
0,6,294,351
0,7,294,351
0,8,294,351
0,9,294,351
0,10,294,351
0,11,294,351
1,0,293,349
1,1,293,349
1,2,294,352
1,3,294,351
1,4,294,351
1,5,294,351
1,6,294,351
1,7,294,351
1,8,294,351
1,9,294,351
1,10,294,351
1,11,294,351
4,0,38,172
4,1,39,173
4,2,40,173
4,3,40,173
4,4,41,174
4,5,41,174
4,6,45,176
4,7,47,176
4,8,51,177
4,9,51,178
4,10,52,179
5,0,38,172
5,1,39,173
5,2,40,173
5,3,40,173
5,4,41,174
5,5,41,174
5,6,45,176
5,7,47,176
5,8,51,177
5,9,51,178
5,10,52,179
8,0,329,55
8,1,330,56
8,2,330,56
8,3,330,56
8,4,330,56
8,5,330,56
8,6,330,56
8,7,330,56
8,8,330,56
8,9,330,56
8,10,330,56
8,11,330,56
8,12,329,55
8,13,330,56
8,14,330,56
8,15,330,56
8,16,330,56
8,17,330,56
8,18,330,56
8,19,330,56
8,20,330,56
8,21,330,56
8,22,330,56
8,23,330,56
8,24,329,55
8,25,330,56
8,26,330,56
8,27,330,56
8,28,330,56
8,29,330,56
8,30,330,56
8,31,330,56
8,32,330,56
8,33,330,56
8,34,330,56
8,35,330,56
8,36,329,55
8,37,330,56
8,38,330,56
8,39,330,56
8,40,330,56
8,41,330,56
8,42,330,56
8,43,330,56
8,44,330,56
8,45,330,56
8,46,330,56
8,47,330,56
8,48,329,55
8,49,330,56
8,50,330,56
8,51,330,56
8,52,330,56
8,53,330,56
8,54,330,56
8,55,330,56
8,56,330,56
8,57,330,56
8,58,330,56
8,59,330,56
8,60,329,55
8,61,330,56
8,62,330,56
8,63,330,56
8,64,330,56
8,65,330,56
8,66,330,56
8,67,330,56
8,68,330,56
8,69,330,56
8,70,330,56
8,71,330,56
8,72,329,55
8,73,330,56
8,74,330,56
8,75,330,56
8,76,330,56
8,77,330,56
8,78,330,56
8,79,330,56
8,80,330,56
8,81,330,56
8,82,330,56
8,83,330,56
8,84,329,55
8,85,330,56
8,86,330,56
8,87,330,56
8,88,330,56
8,89,330,56
8,90,330,56
8,91,330,56
8,92,330,56
8,93,330,56
8,94,330,56
8,95,330,56
8,96,329,55
8,97,330,56
8,98,330,56
8,99,330,56
8,100,330,56
8,101,330,56
8,102,330,56
8,103,330,56
8,104,330,56
8,105,330,56
8,106,330,56
8,107,330,56
8,108,329,55
8,109,330,56
8,110,330,56
8,111,330,56
8,112,330,56
8,113,330,56
8,114,330,56
8,115,330,56
8,116,330,56
8,117,330,56
8,118,330,56
8,119,330,56
8,120,329,55
8,121,330,56
8,122,330,56
8,123,330,56
8,124,330,56
8,125,330,56
8,126,330,56
8,127,330,56
8,128,330,56
8,129,330,56
8,130,330,56
8,131,330,56
8,132,329,55
8,133,330,56
8,134,330,56
8,135,330,56
8,136,330,56
8,137,330,56
8,138,330,56
8,139,330,56
8,140,330,56
8,141,330,56
8,142,330,56
8,143,330,56
8,144,329,55
8,145,330,56
8,146,330,56
8,147,330,56
8,148,330,56
8,149,330,56
8,150,330,56
8,151,330,56
8,152,330,56
8,153,330,56
8,154,330,56
8,155,330,56
8,156,329,55
8,157,330,56
8,158,330,56
8,159,330,56
8,160,330,56
8,161,330,56
8,162,330,56
8,163,330,56
8,164,330,56
8,165,330,56
8,166,330,56
8,167,330,56
8,168,329,55
8,169,330,56
8,170,330,56
8,171,330,56
8,172,330,56
8,173,330,56
8,174,330,56
8,175,330,56
8,176,330,56
8,177,330,56
8,178,330,56
8,179,330,56
8,180,329,55
8,181,330,56
8,182,330,56
8,183,330,56
8,184,330,56
8,185,330,56
8,186,330,56
8,187,330,56
8,188,330,56
8,189,330,56
8,190,330,56
8,191,330,56
8,192,329,55
8,193,330,56
8,194,330,56
8,195,330,56
8,196,330,56
8,197,330,56
8,198,330,56
8,199,330,56
8,200,330,56
8,201,330,56
8,202,330,56
8,203,330,56
8,204,329,55
8,205,330,56
8,206,330,56
8,207,330,56
8,208,330,56
8,209,330,56
8,210,330,56
8,211,330,56
8,212,330,56
8,213,330,56
8,214,330,56
8,215,330,56
8,216,329,55
8,217,330,56
8,218,330,56
8,219,330,56
8,220,330,56
8,221,330,56
8,222,330,56
8,223,330,56
8,224,330,56
8,225,330,56
8,226,330,56
8,227,330,56
9,0,329,55
9,1,330,56
9,2,330,56
9,3,330,56
9,4,330,56
9,5,330,56
9,6,330,56
9,7,330,56
9,8,330,56
9,9,330,56
9,10,330,56
9,11,330,56
9,12,329,55
9,13,330,56
9,14,330,56
9,15,330,56
9,16,330,56
9,17,330,56
9,18,330,56
9,19,330,56
9,20,330,56
9,21,330,56
9,22,330,56
9,23,330,56
9,24,329,55
9,25,330,56
9,26,330,56
9,27,330,56
9,28,330,56
9,29,330,56
9,30,330,56
9,31,330,56
9,32,330,56
9,33,330,56
9,34,330,56
9,35,330,56
9,36,329,55
9,37,330,56
9,38,330,56
9,39,330,56
9,40,330,56
9,41,330,56
9,42,330,56
9,43,330,56
9,44,330,56
9,45,330,56
9,46,330,56
9,47,330,56
9,48,329,55
9,49,330,56
9,50,330,56
9,51,330,56
9,52,330,56
9,53,330,56
9,54,330,56
9,55,330,56
9,56,330,56
9,57,330,56
9,58,330,56
9,59,330,56
9,60,329,55
9,61,330,56
9,62,330,56
9,63,330,56
9,64,330,56
9,65,330,56
9,66,330,56
9,67,330,56
9,68,330,56
9,69,330,56
9,70,330,56
9,71,330,56
9,72,329,55
9,73,330,56
9,74,330,56
9,75,330,56
9,76,330,56
9,77,330,56
9,78,330,56
9,79,330,56
9,80,330,56
9,81,330,56
9,82,330,56
9,83,330,56
9,84,329,55
9,85,330,56
9,86,330,56
9,87,330,56
9,88,330,56
9,89,330,56
9,90,330,56
9,91,330,56
9,92,330,56
9,93,330,56
9,94,330,56
9,95,330,56
9,96,329,55
9,97,330,56
9,98,330,56
9,99,330,56
9,100,330,56
9,101,330,56
9,102,330,56
9,103,330,56
9,104,330,56
9,105,330,56
9,106,330,56
9,107,330,56
9,108,329,55
9,109,330,56
9,110,330,56
9,111,330,56
9,112,330,56
9,113,330,56
9,114,330,56
9,115,330,56
9,116,330,56
9,117,330,56
9,118,330,56
9,119,330,56
9,120,329,55
9,121,330,56
9,122,330,56
9,123,330,56
9,124,330,56
9,125,330,56
9,126,330,56
9,127,330,56
9,128,330,56
9,129,330,56
9,130,330,56
9,131,330,56
9,132,329,55
9,133,330,56
9,134,330,56
9,135,330,56
9,136,330,56
9,137,330,56
9,138,330,56
9,139,330,56
9,140,330,56
9,141,330,56
9,142,330,56
9,143,330,56
9,144,329,55
9,145,330,56
9,146,330,56
9,147,330,56
9,148,330,56
9,149,330,56
9,150,330,56
9,151,330,56
9,152,330,56
9,153,330,56
9,154,330,56
9,155,330,56
9,156,329,55
9,157,330,56
9,158,330,56
9,159,330,56
9,160,330,56
9,161,330,56
9,162,330,56
9,163,330,56
9,164,330,56
9,165,330,56
9,166,330,56
9,167,330,56
9,168,329,55
9,169,330,56
9,170,330,56
9,171,330,56
9,172,330,56
9,173,330,56
9,174,330,56
9,175,330,56
9,176,330,56
9,177,330,56
9,178,330,56
9,179,330,56
9,180,329,55
9,181,330,56
9,182,330,56
9,183,330,56
9,184,330,56
9,185,330,56
9,186,330,56
9,187,330,56
9,188,330,56
9,189,330,56
9,190,330,56
9,191,330,56
9,192,329,55
9,193,330,56
9,194,330,56
9,195,330,56
9,196,330,56
9,197,330,56
9,198,330,56
9,199,330,56
9,200,330,56
9,201,330,56
9,202,330,56
9,203,330,56
9,204,329,55
9,205,330,56
9,206,330,56
9,207,330,56
9,208,330,56
9,209,330,56
9,210,330,56
9,211,330,56
9,212,330,56
9,213,330,56
9,214,330,56
9,215,330,56
9,216,329,55
9,217,330,56
9,218,330,56
9,219,330,56
9,220,330,56
9,221,330,56
9,222,330,56
9,223,330,56
9,224,330,56
9,225,330,56
9,226,330,56
9,227,330,56
10,0,39,269
10,1,39,268
10,2,42,275
10,3,42,275
10,4,42,275
10,5,43,275
10,6,43,275
10,7,43,275
10,8,44,275
10,9,44,275
10,10,45,275
10,11,45,275
10,12,45,275
10,13,46,275
10,14,46,275
10,15,46,275
10,16,47,275
10,17,47,275
10,18,48,275
10,19,48,275
10,20,48,275
10,21,49,275
10,22,49,275
10,23,49,275
10,24,50,275
10,25,50,275
10,26,51,275
10,27,51,275
10,28,51,275
10,29,52,275
10,30,52,275
10,31,53,276
10,32,53,276
10,33,53,276
10,34,54,276
10,35,54,276
10,36,55,275
10,37,55,275
10,38,56,275
10,39,56,275
10,40,56,275
10,41,57,275
10,42,57,275
10,43,57,275
10,44,58,275
10,45,58,275
10,46,59,276
10,47,59,276
10,48,59,276
10,49,60,276
10,50,60,276
10,51,60,276
10,52,61,276
10,53,61,276
11,0,39,269
11,1,39,268
11,2,42,275
11,3,42,275
11,4,42,275
11,5,43,275
11,6,43,275
11,7,43,275
11,8,44,275
11,9,44,275
11,10,45,275
11,11,45,275
11,12,45,275
11,13,46,275
11,14,46,275
11,15,46,275
11,16,47,275
11,17,47,275
11,18,48,275
11,19,48,275
11,20,48,275
11,21,49,275
11,22,49,275
11,23,49,275
11,24,50,275
11,25,50,275
11,26,51,275
11,27,51,275
11,28,51,275
11,29,52,275
11,30,52,275
11,31,53,276
11,32,53,276
11,33,53,276
11,34,54,276
11,35,54,276
11,36,55,275
11,37,55,275
11,38,56,275
11,39,56,275
11,40,56,275
11,41,57,275
11,42,57,275
11,43,57,275
11,44,58,275
11,45,58,275
11,46,59,276
11,47,59,276
11,48,59,276
11,49,60,276
11,50,60,276
11,51,60,276
11,52,61,276
11,53,61,276
12,0,28,324
12,1,27,324
12,2,27,324
12,3,26,324
12,4,26,324
12,5,27,323
12,6,27,323
12,7,27,323
12,8,27,323
12,9,27,323
12,10,26,323
12,11,26,324
12,12,27,324
12,13,26,324
12,14,27,323
12,15,27,323
12,16,26,325
12,17,26,325
13,0,28,324
13,1,27,324
13,2,27,324
13,3,26,324
13,4,26,324
13,5,27,323
13,6,27,323
13,7,27,323
13,8,27,323
13,9,27,323
13,10,26,323
13,11,26,324
13,12,27,324
13,13,26,324
13,14,27,323
13,15,27,323
13,16,26,325
13,17,26,325
16,0,123,155
16,1,123,155
16,2,123,155
16,3,123,155
16,4,142,157
16,5,143,157
16,6,143,157
16,7,143,157
16,8,143,157
16,9,144,157
18,0,25,438
18,1,25,438
18,2,25,440
18,3,26,441
18,4,25,442
18,5,25,442
18,6,25,442
18,7,25,442
18,8,24,443
18,9,24,443
18,10,24,443
18,11,24,443
18,12,24,443
18,13,24,443
18,14,24,444
18,15,25,444
18,16,25,444
18,17,25,442
18,18,25,442
18,19,25,441
18,20,26,441
18,21,26,441
18,22,25,441
18,23,26,441
18,24,26,441
18,25,25,440
18,26,25,440
18,27,26,439
18,28,26,439
18,29,26,439
19,0,25,438
19,1,25,438
19,2,25,440
19,3,26,441
19,4,25,442
19,5,25,442
19,6,25,442
19,7,25,442
19,8,24,443
19,9,24,443
19,10,24,443
19,11,24,443
19,12,24,443
19,13,24,443
19,14,24,444
19,15,25,444
19,16,25,444
19,17,25,441
19,18,25,441
19,19,25,440
19,20,25,440
19,21,26,439
19,22,26,439
19,23,26,439
23,0,133,328
23,1,133,328
23,2,133,328
23,3,133,328
23,4,133,328
23,5,133,328
23,6,133,328
23,7,133,328
23,8,133,329
23,9,135,330
23,10,135,330
23,11,135,330
23,12,135,330
24,0,133,328
24,1,133,328
24,2,133,328
24,3,133,328
24,4,133,328
24,5,133,328
24,6,133,328
24,7,133,328
24,8,133,329
24,9,135,330
24,10,135,330
24,11,135,330
24,12,135,330
25,0,89,85
25,1,92,85
25,2,95,84
25,3,95,84
25,4,96,84
25,5,96,84
25,6,97,84
25,7,97,85
25,8,98,85
25,9,98,85
25,10,98,85
25,11,99,85
25,12,99,85
26,0,89,85
26,1,95,84
26,2,95,84
26,3,96,84
26,4,96,84
26,5,97,84
26,6,97,85
26,7,98,85
26,8,98,85
26,9,98,85
26,10,99,85
26,11,99,85
